Страна,1,2,3,4,5,6,7,Лого
3,Боруссия Дортмунд,Боруссия Дортмунд,Боруссия Дортмунд,Боруссия Дортмунд,Боруссия Дортмунд,Боруссия Д,Боруссия,http://
3,Падерборн,Падерборн,Падерборн 07,Падерборн 07,Падерборн,Падерборн,Падерборн,http://
3,Байер Л.,Байер Леверкузен,Байер 04,Байер 04,Байер Леверкузен,Байер Л,Байер,http://
3,Фрайбург,Фрайбург,Фрайбург,Фрайбург,Фрайбург,Фрайбург,Фрайбург,http://
3,Айнтрахт Франкфурт,Айнтрахт Франкфурт,Айнтрахт Франкфурт,Айнтрахт Франкфурт,Айнтрахт Франкфурт,Айнтрахт,Айнтрахт,http://
3,Вольфсбург,Вольфсбург,Вольфсбург,Вольфсбург,Вольфсбург,Вольфсбург,Вольфсбург,http://
3,Фортуна Дюссельдорф,Фортуна Дюссельдорф,Фортуна,Фортуна Дюссельдорф,Фортуна Дюссельдорф,Фортуна Д,Фортуна Дюссельдорф,http://
3,Бавария,Бавария,Бавария,Бавария,Бавария,Бавария,Бавария,http://
3,Унион Берлин,Унион Берлин,Унион Берлин,Унион Берлин,Унион Берлин,Унион Берлин,Унион Берлин,http://
3,Боруссия Менхенгладбах,Боруссия Менхенгладбах,Боруссия Менхенгладбах,Боруссия Менхенгладбах,Боруссия Менхенгладбах,Боруссия М,Боруссия Мёнхенгладбах,http://
3,Вердер,Вердер,Вердер,Вердер Бремен,Вердер,Вердер Бремен,Вердер,http://
3,Шальке 04,Шальке-04,Шальке 04,Шальке 04,Шальке 04,Шальке 04,Шальке 04,http://
3,Лейпциг,Лейпциг,РБ Лейпциг,РБ Лейпциг,РБ Лейпциг,РБ Лейпциг,Лейпциг,http://
3,Кельн,Кельн,Кельн,Кельн,Кёльн,Кельн,Кёльн,http://
3,Аугсбург,Аугсбург,Аугсбург,Аугсбург,Аугсбург,Аугсбург,Аугсбург,http://
3,Герта,Герта,Герта,Герта Берлин,Герта,Герта Берлин,Герта,http://
3,Хоффенхайм,Хоффенхайм,Хоффенхайм,Хоффенхайм,Хоффенхайм,Хоффенхайм,Хоффенхайм,http://
3,Майнц,Майнц,Майнц 05,Майнц 05,Майнц,Майнц 05,Майнц 05,http://
3,,Эрцгебирге Ауэ,,Эрцгебирге Ауэ,Эрцгебирге Ауэ,Эрцгебирге Ауэ,Эрцгебирге,http://
3,,Ст. Паули,,Санкт-Паули,Санкт-Паули,Санкт-Паули,Санкт-Паули,http://
3,,Бохум,,Бохум,Бохум,Бохум,Бохум,http://
